440000  0.156119
880000  0.321388
1320000  0.54825
1760000  0.663516
2200000  0.910018
2640000  1.11505
3080000  1.46202
3520000  1.42524
3960000  1.58493
4400000  1.94674
4840000  2.04082
5280000  2.37373
5720000  2.58663
6160000  2.85211
6600000  2.62854
7040000  2.99614
7480000  3.03436
7920000  3.34498
8360000  3.70831
8800000  3.75473
9240000  3.98262
9680000  4.27991
10120000  4.57136
10560000  4.77993
11000000  5.0233
11440000  5.34209
11880000  5.62211
12320000  6.07572
12760000  6.24436
